,precision,recall,f1-score,support
B-LOC,0.7167381974248928,0.7455357142857143,0.7308533916849015,224.0
B-PER,0.6140350877192983,0.5555555555555556,0.5833333333333334,126.0
I-LOC,0.23076923076923078,0.17647058823529413,0.2,17.0
I-PER,0.7788461538461539,0.680672268907563,0.726457399103139,119.0
O,0.982875551034249,0.9865554799183118,0.9847120774588075,5876.0
accuracy,0.9616472807293304,0.9616472807293304,0.9616472807293304,0.9616472807293304
macro avg,0.6646528441587649,0.6289579213804878,0.6450712403160362,6362.0
weighted avg,0.9603741408965458,0.9616472807293304,0.9608971640016731,6362.0
